miRNA,Gene
hsa-let-7a,SYVN1
hsa-let-7a,ZNF260
hsa-let-7a,CCNB2
hsa-let-7a,SFSWAP
hsa-let-7a,ACAD8
hsa-let-7a,INTS12
hsa-let-7a,NIPBL
hsa-let-7a,SESN1
hsa-let-7a,CCNG1
hsa-let-7b*,SYT4
hsa-let-7b*,KIAA1715
hsa-let-7b,CDC34
hsa-let-7b,SLC38A1
hsa-let-7b,COIL
hsa-let-7b,VPS39
hsa-let-7b,UHRF1
hsa-let-7b,UGT8
hsa-let-7b,TYMS
hsa-let-7b,TTC9C
hsa-let-7b,TRMT1
hsa-let-7b,TMEM2
hsa-let-7b,THBS1
hsa-let-7b,TAF9B
hsa-let-7b,SPRYD4
hsa-let-7b,SPCS3
hsa-let-7b,SNAP23
hsa-let-7b,SLC25A32
hsa-let-7b,SLC25A24
hsa-let-7b,SLC25A1
hsa-let-7b,SLC25A13
hsa-let-7b,SLC1A4
hsa-let-7b,SCYL1
hsa-let-7b,RPP38
hsa-let-7b,RHOG
hsa-let-7b,RHOB
hsa-let-7b,RDH10
hsa-let-7b,RBM19
hsa-let-7b,PXDN
hsa-let-7b,PTGS2
hsa-let-7b,PRIM1
hsa-let-7b,PPP1R7
hsa-let-7b,POM121
hsa-let-7b,POLR2C
hsa-let-7b,POLD2
hsa-let-7b,PGRMC1
hsa-let-7b,NXN
hsa-let-7b,NEDD4
hsa-let-7b,MTRR
hsa-let-7b,MRPS33
hsa-let-7b,MRPS24
hsa-let-7b,MRM1
hsa-let-7b,MLLT1
hsa-let-7b,MARS2
hsa-let-7b,IPO4
hsa-let-7b,IGF2BP1
hsa-let-7b,F2
hsa-let-7b,IFRD1
hsa-let-7b,IFIT5
hsa-let-7b,HMGA1
hsa-let-7b,GYS1
hsa-let-7b,GTPBP3
hsa-let-7b,GRPEL2
hsa-let-7b,GPR56
hsa-let-7b,GEMIN7
hsa-let-7b,FNDC3A
hsa-let-7b,FAM96A
hsa-let-7b,FAM105A
