miRNA,Gene
hsa-miR-200b-3p,PM20D2
hsa-miR-200b-3p,MYH9
hsa-miR-200b-3p,FECH
hsa-miR-200b-3p,TMEM27
hsa-miR-200b-3p,TBC1D30
hsa-miR-200b-3p,HMMR
hsa-miR-200b-3p,MYO9A
hsa-miR-200b-3p,PARM1
hsa-miR-200b-3p,TMEM2
hsa-miR-200b-3p,TMEM38B
hsa-miR-200b-3p,ANXA8
hsa-miR-200b-3p,CNKSR1
hsa-miR-200b-3p,PRPS2
hsa-miR-200b-3p,NIPAL1
hsa-miR-200b-3p,PPIF
hsa-miR-200b-3p,IFRD1
hsa-miR-200b-3p,GCH1
hsa-miR-200b-3p,ZNF146
hsa-miR-200b-3p,C6orf35
hsa-miR-200b-3p,EMB
hsa-miR-200b-3p,MPZL3
hsa-miR-200b-3p,DENND2D
hsa-miR-200b-3p,CDC6
hsa-miR-200b-3p,SUSD5
hsa-miR-200b-3p,SLC25A37
hsa-miR-200b-3p,PPAT
hsa-miR-200b-3p,SLC19A2
hsa-miR-200b-3p,C21orf119
hsa-miR-200b-3p,BAP1
hsa-miR-200b-3p,RINT1
hsa-miR-200b-3p,NCS1
hsa-miR-200b-3p,EHD1
hsa-miR-200b-3p,REN
hsa-miR-200b-3p,TMEM56
hsa-miR-200b-3p,LONRF1
hsa-miR-200b-3p,TAF11
hsa-miR-200b-3p,C9orf41
hsa-miR-200b-3p,DMKN
hsa-miR-200b-3p,SEC23B
hsa-miR-200b-3p,NAPG
hsa-miR-200b-3p,CH25H
hsa-miR-200b-3p,HOXD1
hsa-miR-200b-3p,C14orf104
hsa-miR-200b-3p,RAB28
hsa-miR-200b-3p,KLHL8
hsa-miR-200b-3p,FAM160A1
hsa-miR-200b-3p,ATP2B4
hsa-miR-200b-3p,PMM2
hsa-miR-200b-3p,KIAA0430
hsa-miR-200b-3p,ATP13A3
hsa-miR-200b-3p,ICMT
hsa-miR-200b-3p,C7orf42
hsa-miR-200b-3p,PTPN11
hsa-miR-200b-3p,DCLRE1A
hsa-miR-200b-3p,GREB1L
hsa-miR-200b-3p,C10orf78
hsa-miR-200b-3p,TRIML2
hsa-miR-200b-3p,ZNF860
hsa-miR-200b-3p,HHIP
hsa-miR-200b-3p,MAK16
hsa-miR-200b-3p,CNTNAP1
hsa-miR-200b-3p,TLN1
hsa-miR-200b-3p,XKR8
hsa-miR-200b-3p,CPEB2
hsa-miR-200b-3p,FAM46C
hsa-miR-200b-3p,C10orf88
hsa-miR-200b-3p,NCF2
hsa-miR-200b-3p,ANXA8L2
hsa-miR-200b-3p,CSPG4
hsa-miR-200b-3p,SHANK2
hsa-miR-200b-3p,HOOK1
hsa-miR-200b-3p,RTKN
hsa-miR-200b-3p,LAMC1
hsa-miR-200b-3p,JRKL
hsa-miR-200b-3p,PRR16
hsa-miR-200b-3p,PANX1
hsa-miR-200b-3p,TNFRSF9
hsa-miR-200b-3p,PJA1
hsa-miR-200b-3p,L1CAM
hsa-miR-200b-3p,MSN
hsa-miR-200b-3p,FZD5
hsa-miR-200b-3p,TMOD3
hsa-miR-200b-3p,CYTH3
hsa-miR-200b-3p,CUL4B
hsa-miR-200b-3p,SYDE1
hsa-miR-200b-3p,KIF13A
hsa-miR-200b-3p,RCSD1
hsa-miR-200b-3p,XRCC4
hsa-miR-200b-3p,NDUFB9
hsa-miR-200b-3p,RGL1
hsa-miR-200b-3p,FOXP4
hsa-miR-200b-3p,NAV1
hsa-miR-200b-3p,JPH1
hsa-miR-200b-3p,NGDN
hsa-miR-200b-3p,SFXN4
hsa-miR-200b-3p,RPS6KA5
hsa-miR-200b-3p,STAG2
