mir,gene, 
hsa-miR-372,TWIST1,
hsa-miR-373,TWIST1,
hsa-miR-21,RAS/ERK,
hsa-miR-148a,IL6,
hsa-miR-152,IL6,
hsa-miR-301a,IL6,
hsa-miR-301b,IL6,
hsa-miR-21,BMPR1a,
hsa-miR-21,BMPR1b,
hsa-miR-224,TGFB1,
hsa-miR-1-1,TNFSF12,
hsa-miR-1-2,TNFSF12,
hsa-miR-133a,TNFSF12,
hsa-miR-133b,TNFSF12,
hsa-miR-206,TNFSF12,
hsa-miR-146a,TNFSF12,
hsa-miR-455,TNFSF12,
hsa-miR-21,EGFR,
hsa-miR-19a,MYCN,
hsa-miR-18a,MYCN,
hsa-miR-421,MYCN,
hsa-miR-146a,NFKB1,
hsa-miR-141,MYC,
hsa-miR-141,SPLUNC1,
hsa-miR-21,PTEN,
hsa-miR-449a,CDK,
hsa-miR-449b,CDK,
hsa-miR-449a,Rb,
hsa-miR-449b,Rb,
hsa-miR-449a,E2F1,
hsa-miR-449b,E2F1,
hsa-miR-223,E2F1,
hsa-miR-181b-1,TGFB1,
hsa-miR-181b-2,TGFB1,
hsa-miR-146a,FLICE inhibitory protein (vFLIP) K13,
hsa-miR-24,PDGF,
hsa-miR-24,TGFB1,
hsa-miR-15a,STAT5,
hsa-miR-15b,STAT5,
hsa-miR-16,STAT5,
hsa-miR-195,STAT5,
hsa-miR-223,CEBPA,
hsa-miR-17,MYC,
hsa-miR-19a,MYC,
hsa-miR-19b,MYC,
hsa-miR-31,TNF,
hsa-miR-17,TNF,
hsa-let-7e,AKT1,
hsa-miR-181c,AKT1,
hsa-miR-155,AKT1,
hsa-miR-125b,AKT1,
hsa-miR-451,SMAD3,
hsa-miR-17,ERS1,
hsa-miR-20a,ERS1,
hsa-miR-18a,ERS1,
hsa-miR-19a,ERS1,
hsa-miR-19b,ERS1,
hsa-miR-92a,ERS1,
hsa-miR-106a,ERS1,
hsa-miR-122,HNF1A,
hsa-miR-122,HNF3A,
hsa-miR-122,HNF3B,
hsa-miR-155,SMG-1,
hsa-miR-449a,FOXJ1,
hsa-miR-16,NFKB1,
hsa-miR-21,NFKB1,
hsa-miR-211,MITF,
hsa-miR-132,CREB1,
hsa-miR-212,CREB1,
hsa-let-7a,LIN28,
hsa-let-7b,LIN28,
hsa-let-7c,LIN28,
hsa-let-7d,LIN28,
hsa-let-7e,LIN28,
hsa-let-7f,LIN28,
hsa-let-7g,LIN28,
hsa-let-7i,LIN28,
hsa-miR-23a,RUNX2,
hsa-miR-27a,RUNX2,
hsa-miR-24-2,RUNX2,
hsa-miR-424,HIF1A,
hsa-miR-206,MyoD,
hsa-miR-1-1,MyoD,
hsa-miR-1-2,MyoD,
hsa-miR-34a,CEBPA,
hsa-miR-1-2,MECOM,
hsa-miR-107,TP53,
hsa-let-7e,EGR1,
hsa-miR-10a,EGR1,
hsa-miR-124-3,EGR1,
hsa-miR-125a,EGR1,
hsa-miR-130b,EGR1,
hsa-miR-301b,EGR1,
hsa-miR-212,EGR1,
hsa-miR-132,EGR1,
hsa-miR-142,EGR1,
hsa-miR-146b,EGR1,
hsa-miR-148a,EGR1,
hsa-miR-149,EGR1,
hsa-miR-183,EGR1,
hsa-miR-185,EGR1,
hsa-miR-425,EGR1,
hsa-miR-191,EGR1,
hsa-miR-200b,EGR1,
hsa-miR-219-2,EGR1,
hsa-miR-23a,EGR1,
hsa-miR-24-2,EGR1,
hsa-miR-27a,EGR1,
hsa-miR-30a,EGR1,
hsa-miR-30c-1,EGR1,
hsa-miR-30c-2,EGR1,
hsa-miR-30e,EGR1,
hsa-miR-32,EGR1,
hsa-miR-335,EGR1,
hsa-miR-455,EGR1,
hsa-miR-596,EGR1,
hsa-miR-642a,EGR1,
hsa-miR-92b,EGR1,
hsa-miR-96,EGR1,
hsa-miR-99b,EGR1,
hsa-miR-21,STAT3,
hsa-miR-181b-1,STAT3,
hsa-miR-10b,PDLIM7,
hsa-miR-10b,TWIST1,
hsa-miR-144,GATA4,
hsa-miR-451,GATA4,
hsa-miR-34a,NR1H4,
hsa-miR-23a,RUNX2,
hsa-miR-27a,RUNX2,
hsa-miR-24-2,RUNX2,
hsa-miR-375,CTCF,
hsa-miR-182,IL2,
hsa-let-7a,LIN28,
hsa-let-7b,LIN28,
hsa-let-7c,LIN28,
